setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen1.5b,LF_0D_beyond_NONTOPO,NONTOPO,NONTOPO(+)0D,0.999752,0.999764,1.2000000000012001e-05,2.9022534902382673e-05,-4.0000000000040004e-05,7.999999999996898e-05,-2.8000000000028002e-05,6.399999999995298e-05,0.75,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_DEFL_beyond_NONTOPO,NONTOPO,NONTOPO(+)DEFL,0.999752,0.999736,-1.6000000000016e-05,2.7862011700522128e-05,-7.999999999996898e-05,3.2000000000032e-05,-6.4000000000064e-05,2.4000000000024002e-05,0.6706,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_SINK_beyond_NONTOPO,NONTOPO,NONTOPO(+)SINK,0.999752,0.999752,0.0,2.5798672210794585e-05,-4.8000000000048004e-05,5.6000000000056005e-05,-4.0000000000040004e-05,4.4000000000044004e-05,1.092,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_0D_beyond_HIDDEN,HIDDEN,HIDDEN(+)0D,0.99956,0.999536,-2.4000000000024002e-05,6.204726264518099e-05,-0.000164000000000053,8.400000000008401e-05,-0.00013220000000001546,6.4000000000064e-05,0.7784,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_0D_beyond_LOGPROB,LOGPROB,LOGPROB(+)0D,0.994344,0.994164,-0.00017999999999995797,0.0006509964996383932,-0.0015523000000001062,0.0009799999999999837,-0.0013119999999999798,0.0008199999999999319,0.8218,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_0D_beyond_SINK,SINK,SINK(+)0D,0.818852,0.823184,0.0043320000000000025,0.002694302862116462,-0.001008200000000009,0.009599999999999942,-0.000140200000000029,0.008731999999999962,0.112,500,0.0162,True,0.9612358344426186,0.0,True,0.999912346629658,0.0,True,0.9999999924503529,0.0,True,0.9999999999999771
halueval_qwen3b,LF_0D_beyond_NONTOPO,NONTOPO,NONTOPO(+)0D,0.999768,0.999752,-1.6000000000016e-05,2.0364545362958576e-05,-5.902500000002917e-05,2.1000000000048757e-05,-5.100000000002325e-05,1.599999999990498e-05,0.4462,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_DEFL_beyond_NONTOPO,NONTOPO,NONTOPO(+)DEFL,0.999768,0.999765,-2.9999999999752447e-06,1.7376166578391232e-05,-4.0000000000040004e-05,3.0000000000085514e-05,-3.2999999999949736e-05,2.399999999991853e-05,0.8962,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_SINK_beyond_NONTOPO,NONTOPO,NONTOPO(+)SINK,0.999768,0.999758,-9.99999999995449e-06,1.5629547586222282e-05,-4.300000000001525e-05,2.0000000000020002e-05,-3.6000000000036e-05,1.4999999999987246e-05,0.5328,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_0D_beyond_HIDDEN,HIDDEN,HIDDEN(+)0D,0.999669,0.999672,2.9999999999752447e-06,2.6528126500753687e-05,-4.899999999996574e-05,5.599999999994776e-05,-3.999999999992898e-05,4.700000000001925e-05,0.9204,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_0D_beyond_LOGPROB,LOGPROB,LOGPROB(+)0D,0.992732,0.993455,0.0007230000000000292,0.0003966203010960355,2.6975000000001327e-05,0.0015889999999999544,0.00012100000000003774,0.0014220000000000343,0.0424,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_0D_beyond_SINK,SINK,SINK(+)0D,0.828054,0.838959,0.010905000000000054,0.0025196386055956017,0.005903825000000021,0.015819075000000026,0.0066789999999999905,0.014997100000000034,0.0,1000,0.6283,False,0.9798728718706191,0.0498,True,0.9999835546142481,0.0002,True,0.9999999996881952,0.0,True,0.9999999999999998
