setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen1.5b,AUC_DELTA,,DELTA,,0.641472,,,,,,,,,,,,,,,,,,,,
halueval_qwen1.5b,AUC_PH_DELTA,,PH_DELTA,,0.898472,,,,,,,,,,,,,,,,,,,,
halueval_qwen1.5b,AUC_PH_SINK+PH_DELTA,,PH_SINK+PH_DELTA,,0.940932,,,,,,,,,,,,,,,,,,,,
halueval_qwen1.5b,DELTA_h_beyond_SINK_h,PH_SINK,PH_SINK+PH_DELTA,0.922456,0.940932,0.018475999999999937,0.006596499011272195,0.005464000000000024,0.03152409999999999,0.007739599999999969,0.02920059999999999,0.0064,500.0,0.9008,False,0.0,0.7007,False,0.4707032252154555,0.412,False,0.834575827615333,0.157,False,0.9680499927385577
halueval_qwen1.5b,LF_DELTA_beyond_SINK,SINK,SINK(+)DELTA,0.818852,0.820372,0.0015199999999999658,0.0016803620271855224,-0.0017961000000000199,0.004804100000000029,-0.001224200000000003,0.0042959999999999665,0.3652,500.0,0.0,True,0.999983395078881,0.0,True,0.9999999999996705,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_PH_DELTA_beyond_SINK,SINK,SINK(+)PH_DELTA,0.818852,0.916724,0.09787199999999996,0.00818758823785735,0.08195599999999992,0.1139044,0.084592,0.11139620000000004,0.0,500.0,1.0,False,0.0,1.0,False,0.14848652973461807,1.0,False,0.5750529856971311,1.0,False,0.8410313076314475
halueval_qwen1.5b,LF_DELTA_beyond_PH_SINK,PH_SINK,PH_SINK(+)DELTA,0.9219,0.921692,-0.000208000000000097,0.0003596370212035465,-0.0009119999999999157,0.00047999999999992493,-0.0008080000000000309,0.00037200000000003897,0.5692,500.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_PH_DELTA_beyond_PH_SINK,PH_SINK,PH_SINK(+)PH_DELTA,0.9219,0.946904,0.025003999999999915,0.004385160113602859,0.01648769999999995,0.0335322,0.017843799999999976,0.032243999999999946,0.0,500.0,0.9999,False,0.4749398922299033,0.9893,False,0.9242298315120763,0.8718,False,0.9964543047528425,0.4997,False,0.9999501208406798
halueval_qwen1.5b,LF_DELTA_beyond_NONTOPO,NONTOPO,NONTOPO(+)DELTA,0.999752,0.999748,-4.000000000004e-06,1.1949878660471983e-05,-3.2000000000032e-05,1.6000000000016e-05,-2.4000000000024002e-05,1.2000000000012001e-05,0.9856,500.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,LF_PH_DELTA_beyond_NONTOPO,NONTOPO,NONTOPO(+)PH_DELTA,0.999752,0.999752,0.0,3.527211949174654e-05,-7.199999999996098e-05,7.599999999996498e-05,-5.599999999994498e-05,5.6000000000056005e-05,1.0112,500.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,AUC_DELTA,,DELTA,,0.653847,,,,,,,,,,,,,,,,,,,,
halueval_qwen3b,AUC_PH_DELTA,,PH_DELTA,,0.957063,,,,,,,,,,,,,,,,,,,,
halueval_qwen3b,AUC_PH_SINK+PH_DELTA,,PH_SINK+PH_DELTA,,0.973525,,,,,,,,,,,,,,,,,,,,
halueval_qwen3b,DELTA_h_beyond_SINK_h,PH_SINK,PH_SINK+PH_DELTA,0.958083,0.973525,0.015441999999999956,0.0030046465698615266,0.009544750000000024,0.021346199999999975,0.01048895000000008,0.020380049999999955,0.0,1000.0,0.9643,False,0.907687774771182,0.5533,False,0.9991843072695787,0.0644,False,0.9999994599354203,0.0004,True,0.9999999999753766
halueval_qwen3b,LF_DELTA_beyond_SINK,SINK,SINK(+)DELTA,0.828054,0.829956,0.0019020000000000703,0.001295991192016119,-0.0006520250000000948,0.0044601000000000154,-0.00025205000000002583,0.0040281000000000275,0.1422,1000.0,0.0,True,0.9999999987308015,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_PH_DELTA_beyond_SINK,SINK,SINK(+)PH_DELTA,0.828054,0.960259,0.13220500000000002,0.006204508961540402,0.12002875000000005,0.144309725,0.12190995000000007,0.14241110000000007,0.0,1000.0,1.0,False,0.0,1.0,False,0.5603255129664233,1.0,False,0.8855741290101438,1.0,False,0.9828964481655311
halueval_qwen3b,LF_DELTA_beyond_PH_SINK,PH_SINK,PH_SINK(+)DELTA,0.957809,0.957793,-1.6000000000016e-05,0.00017578310490598884,-0.00036002500000002487,0.00032702499999996655,-0.00030405000000007784,0.00027200000000005,0.9234,1000.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_PH_DELTA_beyond_PH_SINK,PH_SINK,PH_SINK(+)PH_DELTA,0.957809,0.975444,0.017634999999999956,0.0023986932580161036,0.012987949999999998,0.022350049999999982,0.01372489999999999,0.02165004999999995,0.0,1000.0,0.9997,False,0.988399943833068,0.8615,False,0.9999959451547187,0.1612,False,0.9999999999781388,0.0007,True,1.0
halueval_qwen3b,LF_DELTA_beyond_NONTOPO,NONTOPO,NONTOPO(+)DELTA,0.999768,0.999766,-1.999999999946489e-06,2.3966004568979638e-06,-8.000000000008e-06,0.0,-6.999999999979245e-06,0.0,0.7368,1000.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,LF_PH_DELTA_beyond_NONTOPO,NONTOPO,NONTOPO(+)PH_DELTA,0.999768,0.999743,-2.4999999999941735e-05,2.483820344227831e-05,-8.000000000008001e-05,1.799999999996249e-05,-6.899999999998574e-05,1.1000000000094268e-05,0.2946,1000.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
triviaqa_phi3,AUC_DELTA,,DELTA,,0.504863492063492,,,,,,,,,,,,,,,,,,,,
triviaqa_phi3,AUC_PH_DELTA,,PH_DELTA,,0.7890346666666667,,,,,,,,,,,,,,,,,,,,
triviaqa_phi3,AUC_PH_SINK+PH_DELTA,,PH_SINK+PH_DELTA,,0.8143177142857143,,,,,,,,,,,,,,,,,,,,
triviaqa_phi3,DELTA_h_beyond_SINK_h,PH_SINK,PH_SINK+PH_DELTA,0.8260998095238096,0.8143177142857143,-0.011782095238095258,0.006298827087370676,-0.02410495113596303,0.0005026990514299856,-0.022286501284610773,-0.0015080835262190693,0.062,2000.0,0.6121,False,0.0,0.2975,False,0.5385991521280333,0.0971,False,0.8740675797131907,0.0185,True,0.9798819693417613
